POINT_ID,BARANGAY_NAME,X,Y,YEAR,FLOOD_RECURRENT
Balaba_44,Balaba,559668.0395602158,1473077.865384382,2017,0
Balaba_44,Balaba,559668.0395602158,1473077.865384382,2018,0
Balaba_44,Balaba,559668.0395602158,1473077.865384382,2019,0
Balaba_44,Balaba,559668.0395602158,1473077.865384382,2020,1
Balaba_44,Balaba,559668.0395602158,1473077.865384382,2021,0
Balaba_44,Balaba,559668.0395602158,1473077.865384382,2022,0
Balaba_44,Balaba,559668.0395602158,1473077.865384382,2023,0
Balaba_44,Balaba,559668.0395602158,1473077.865384382,2024,1
Balaba_45,Balaba,558494.6364616484,1471527.0603460758,2010,0
Balaba_45,Balaba,558494.6364616484,1471527.0603460758,2011,0
Balaba_45,Balaba,558494.6364616484,1471527.0603460758,2012,0
Balaba_45,Balaba,558494.6364616484,1471527.0603460758,2013,0
Balaba_45,Balaba,558494.6364616484,1471527.0603460758,2014,0
Balaba_45,Balaba,558494.6364616484,1471527.0603460758,2015,0
Balaba_45,Balaba,558494.6364616484,1471527.0603460758,2016,0
Balaba_45,Balaba,558494.6364616484,1471527.0603460758,2017,0
Balaba_45,Balaba,558494.6364616484,1471527.0603460758,2018,0
Balaba_45,Balaba,558494.6364616484,1471527.0603460758,2019,0
Balaba_45,Balaba,558494.6364616484,1471527.0603460758,2020,1
Balaba_45,Balaba,558494.6364616484,1471527.0603460758,2021,0
Balaba_45,Balaba,558494.6364616484,1471527.0603460758,2022,0
Balaba_45,Balaba,558494.6364616484,1471527.0603460758,2023,0
Balaba_45,Balaba,558494.6364616484,1471527.0603460758,2024,1
Balaba_46,Balaba,558146.8140740041,1472203.1396346574,2010,0
Balaba_46,Balaba,558146.8140740041,1472203.1396346574,2011,0
Balaba_46,Balaba,558146.8140740041,1472203.1396346574,2012,0
Balaba_46,Balaba,558146.8140740041,1472203.1396346574,2013,0
Balaba_46,Balaba,558146.8140740041,1472203.1396346574,2014,0
Balaba_46,Balaba,558146.8140740041,1472203.1396346574,2015,0
Balaba_46,Balaba,558146.8140740041,1472203.1396346574,2016,0
Balaba_46,Balaba,558146.8140740041,1472203.1396346574,2017,0
Balaba_46,Balaba,558146.8140740041,1472203.1396346574,2018,0
Balaba_46,Balaba,558146.8140740041,1472203.1396346574,2019,0
Balaba_46,Balaba,558146.8140740041,1472203.1396346574,2020,1
Balaba_46,Balaba,558146.8140740041,1472203.1396346574,2021,0
Balaba_46,Balaba,558146.8140740041,1472203.1396346574,2022,0
Balaba_46,Balaba,558146.8140740041,1472203.1396346574,2023,0
Balaba_46,Balaba,558146.8140740041,1472203.1396346574,2024,1
Balaba_47,Balaba,558564.1635873114,1471493.2309386057,2010,0
Balaba_47,Balaba,558564.1635873114,1471493.2309386057,2011,0
Balaba_47,Balaba,558564.1635873114,1471493.2309386057,2012,0
Balaba_47,Balaba,558564.1635873114,1471493.2309386057,2013,0
Balaba_47,Balaba,558564.1635873114,1471493.2309386057,2014,0
Balaba_47,Balaba,558564.1635873114,1471493.2309386057,2015,0
Balaba_47,Balaba,558564.1635873114,1471493.2309386057,2016,0
Balaba_47,Balaba,558564.1635873114,1471493.2309386057,2017,0
Balaba_47,Balaba,558564.1635873114,1471493.2309386057,2018,0
Balaba_47,Balaba,558564.1635873114,1471493.2309386057,2019,0
Balaba_47,Balaba,558564.1635873114,1471493.2309386057,2020,1
Balaba_47,Balaba,558564.1635873114,1471493.2309386057,2021,0
Balaba_47,Balaba,558564.1635873114,1471493.2309386057,2022,0
Balaba_47,Balaba,558564.1635873114,1471493.2309386057,2023,0
Balaba_47,Balaba,558564.1635873114,1471493.2309386057,2024,1
Balaba_48,Balaba,557807.6073949772,1471584.7276283011,2010,0
Balaba_48,Balaba,557807.6073949772,1471584.7276283011,2011,0
Balaba_48,Balaba,557807.6073949772,1471584.7276283011,2012,0
Balaba_48,Balaba,557807.6073949772,1471584.7276283011,2013,0
Balaba_48,Balaba,557807.6073949772,1471584.7276283011,2014,0
Balaba_48,Balaba,557807.6073949772,1471584.7276283011,2015,0
Balaba_48,Balaba,557807.6073949772,1471584.7276283011,2016,0
Balaba_48,Balaba,557807.6073949772,1471584.7276283011,2017,0
Balaba_48,Balaba,557807.6073949772,1471584.7276283011,2018,0
Balaba_48,Balaba,557807.6073949772,1471584.7276283011,2019,0
Balaba_48,Balaba,557807.6073949772,1471584.7276283011,2020,1
Balaba_48,Balaba,557807.6073949772,1471584.7276283011,2021,0
Balaba_48,Balaba,557807.6073949772,1471584.7276283011,2022,0
Balaba_48,Balaba,557807.6073949772,1471584.7276283011,2023,0
Balaba_48,Balaba,557807.6073949772,1471584.7276283011,2024,1
Balaba_49,Balaba,559177.8079058777,1471893.4067539126,2010,0
Balaba_49,Balaba,559177.8079058777,1471893.4067539126,2011,0
Balaba_49,Balaba,559177.8079058777,1471893.4067539126,2012,0
Balaba_49,Balaba,559177.8079058777,1471893.4067539126,2013,0
Balaba_49,Balaba,559177.8079058777,1471893.4067539126,2014,0
Balaba_49,Balaba,559177.8079058777,1471893.4067539126,2015,0
Balaba_49,Balaba,559177.8079058777,1471893.4067539126,2016,0
